SurveyVersion,QuestionNum,FirstClick,LastClick,DecisionTime,ClickCount,SurveyAnswer,ActualAnswer,ConfidenceLevel,IsExp,Explanations,Accuracy
1,1,20.884,56.765,57.124,5,No,Yes,70,1,"If combined, there would be various blank entries. Also, some of the data that looks to be combined cannot be. For example, for Asia Table A did have a row for Asia, but nowhere specific to place China from Table B.",0
1,1,142.765,142.765,145.698,1,No,Yes,90,1,These tables aren't really unionable as is... technically we can restructure one of the tables.  If you were to combine them as is it would conflate the country level and city level data.  ,0
1,1,19.027,19.027,20.344,1,No,Yes,81,1,"There are so many differences in cultures and languages, it feels like that merge would be difficult.",0
1,1,10.529,13.103,13.826,2,No,Yes,75,1,they both have very different languages,0
1,1,10.66,10.66,22.478,1,No,Yes,65,1,they aren't that close to each other,0
1,1,40.132,109.985,110.888,2,No,Yes,95,1,Two tables have different columns.,0
1,1,21.853,21.853,22.981,1,No,Yes,40,1,They are about places but dont seem to have any relation to each other,0
1,1,0.799,0.799,54.433,1,Yes,Yes,77,1,some of the cities listed there can speak the languages listed,1
1,1,25.815,98.557,129.424,2,Yes,Yes,80,1,Both table can be matched into one because  tables 2 have city while table 1 is connoted with country which is a subset of country. This validate the matching of the table.,1
1,1,22.355,22.355,23.431,1,Yes,Yes,81,1,"both  have similar content, so it can be combined.",1
1,1,18.136,18.136,19.51,1,No,Yes,100,1,"Not similar in one column, city names and name of country.",0
1,1,46.513,46.513,54.438,1,Yes,Yes,80,1,"The columns do not match perfectly, but two of the three columns do match. Also, Rio de Janeiro is a city in one of the countries in the first table.",1
1,1,20.873,20.873,27.245,1,Yes,Yes,75,1,"Both tables contained the same attributes. The only difference is that one showed an attribute for cities, and the other counties. Both counties and cities are similar attributes.",1
1,1,4.048,11.964,12.805,3,No,Yes,79,1,These countries have very little in common.,0
1,1,73.277,73.277,75.862,1,Yes,Yes,58,1,"The tables could be combined if you broke it down by languages--making those the key,",1
1,1,337.33,337.33,337.854,1,Yes,Yes,80,1,My answer was based on the data of the both table,1
1,1,14.138,14.138,19.198,1,Yes,Yes,100,1,all data overlaps,1
1,2,4.926,32.643,33.368,6,No,Yes,50,1,"The data from Table B does not appear to relate to Table A, the only similarities they had were political affiliation.",0
