SurveyVersion,QuestionNum,total_responses,correct,actual_answer,incorrect,accuracy,entropy,difficulty_disagreement,difficulty_performance
1,1,17,8,Yes,9,0.47058823529411764,0.9975025463691153,Hard,Hard
1,2,17,11,Yes,6,0.6470588235294118,0.9366673818775625,Medium,Medium
1,3,17,9,No,8,0.5294117647058824,0.9975025463691153,Hard,Hard
1,4,17,12,No,5,0.7058823529411765,0.8739810481273579,Medium,Medium
1,5,17,9,Yes,8,0.5294117647058824,0.9975025463691153,Hard,Hard
1,6,17,4,Yes,13,0.23529411764705882,0.787126586201269,Easy,Hard
1,7,17,15,No,2,0.8823529411764706,0.5225593745369409,Easy,Easy
1,8,17,16,No,1,0.9411764705882353,0.3227569588973983,Easy,Easy
2,1,15,12,Yes,3,0.8,0.7219280948873623,Easy,Medium
2,2,15,8,Yes,7,0.5333333333333333,0.9967916319816367,Hard,Hard
2,3,15,9,No,6,0.6,0.9709505944546688,Hard,Medium
2,4,15,13,No,2,0.8666666666666667,0.5665095065529053,Easy,Easy
2,5,15,9,Yes,6,0.6,0.9709505944546688,Hard,Medium
2,6,15,13,Yes,2,0.8666666666666667,0.5665095065529053,Easy,Easy
2,7,15,2,No,13,0.13333333333333333,0.5665095065529053,Easy,Hard
2,8,15,12,No,3,0.8,0.7219280948873623,Easy,Medium
3,1,15,9,Yes,6,0.6,0.9709505944546688,Hard,Medium
3,2,15,6,Yes,9,0.4,0.9709505944546688,Hard,Hard
3,3,15,14,No,1,0.9333333333333333,0.3533593350214213,Easy,Easy
3,4,15,12,No,3,0.8,0.7219280948873623,Easy,Medium
3,5,15,12,Yes,3,0.8,0.7219280948873623,Easy,Medium
3,6,15,5,Yes,10,0.3333333333333333,0.9182958340544894,Medium,Hard
3,7,15,13,No,2,0.8666666666666667,0.5665095065529053,Easy,Easy
3,8,15,14,No,1,0.9333333333333333,0.3533593350214213,Easy,Easy
4,1,13,13,Yes,0,1.0,0.0,Easy,Easy
4,2,13,10,Yes,3,0.7692307692307693,0.7793498372920851,Easy,Medium
4,3,13,11,No,2,0.8461538461538461,0.6193821946787638,Easy,Easy
4,4,13,8,No,5,0.6153846153846154,0.961236604722876,Hard,Medium
4,5,13,5,Yes,8,0.38461538461538464,0.961236604722876,Hard,Hard
4,6,13,7,Yes,6,0.5384615384615384,0.9957274520849256,Hard,Hard
4,7,13,11,No,2,0.8461538461538461,0.6193821946787638,Easy,Easy
4,8,13,11,No,2,0.8461538461538461,0.6193821946787638,Easy,Easy
