Partition,Group,N,Accuracy,Acc_Disparity,TP,FP,TN,FN,AP,AP_d,AP_unfair,SP,SP_d,SP_unfair,TPR,TPR_d,TPR_unfair,TNR,TNR_d,TNR_unfair,PPV,PPV_d,PPV_unfair,NPV,NPV_d,NPV_unfair,FPR,FPR_d,FPR_unfair,FNR,FNR_d,FNR_unfair,FDR,FDR_d,FDR_unfair,FOR,FOR_d,FOR_unfair,Unfair_Metrics,N_Unfair,Mean_DecisionTime,Median_DecisionTime,Mean_ConfidenceLevel,Median_ConfidenceLevel,Mean_ClickCount,Median_ClickCount
TimeGroup_Participant,Fast,144,0.6875,-0.0127,43,16,56,29,0.6875,-0.0127,False,0.2986,-0.0152,False,0.5972,-0.0319,False,0.7778,0.0067,False,0.7288,-0.0034,False,0.6588,-0.0174,False,0.2222,-0.0067,False,0.4028,0.0319,False,0.2712,0.0034,False,0.3412,0.0174,False,,0,24.75,18.38,75.71,80.0,2.22,1.0
TimeGroup_Participant,Medium,140,0.7286,0.0283,43,11,59,27,0.7286,0.0283,False,0.3071,-0.0067,False,0.6143,-0.0148,False,0.8429,0.0718,False,0.7963,0.0641,False,0.686,0.0098,False,0.1571,-0.0718,False,0.3857,0.0148,False,0.2037,-0.0641,False,0.314,-0.0098,False,,0,43.04,36.41,74.94,80.0,1.81,1.0
TimeGroup_Participant,Slow,143,0.6853,-0.0149,48,22,50,23,0.6853,-0.0149,False,0.3357,0.0218,False,0.6761,0.0469,False,0.6944,-0.0766,False,0.6857,-0.0465,False,0.6849,0.0087,False,0.3056,0.0766,False,0.3239,-0.0469,False,0.3143,0.0465,False,0.3151,-0.0087,False,,0,72.31,65.9,76.76,82.0,2.02,1.0
ConfGroup_Participant,Low-Confidence,154,0.6429,-0.0574,48,26,51,29,0.6429,-0.0574,False,0.3117,-0.0021,False,0.6234,-0.0057,False,0.6623,-0.1087,True,0.6486,-0.0836,False,0.6375,-0.0387,False,0.3377,0.1087,True,0.3766,0.0057,False,0.3514,0.0836,False,0.3625,0.0387,False,TNR(d=-0.109); FPR(d=+0.109),2,46.38,41.12,61.89,66.0,1.97,1.0
ConfGroup_Participant,Med-Confidence,125,0.736,0.0358,40,11,52,22,0.736,0.0358,False,0.32,0.0062,False,0.6452,0.0161,False,0.8254,0.0544,False,0.7843,0.0521,False,0.7027,0.0265,False,0.1746,-0.0544,False,0.3548,-0.0161,False,0.2157,-0.0521,False,0.2973,-0.0265,False,,0,45.41,36.3,78.81,80.0,2.4,2.0
ConfGroup_Participant,High-Confidence,148,0.7297,0.0295,46,12,62,28,0.7297,0.0295,False,0.3108,-0.003,False,0.6216,-0.0075,False,0.8378,0.0668,False,0.7931,0.0609,False,0.6889,0.0127,False,0.1622,-0.0668,False,0.3784,0.0075,False,0.2069,-0.0609,False,0.3111,-0.0127,False,,0,48.05,33.21,87.75,93.0,1.75,1.0
ClickGroup_Participant,Low-Engagement,145,0.669,-0.0313,42,18,55,30,0.669,-0.0313,False,0.2897,-0.0242,False,0.5833,-0.0458,False,0.7534,-0.0176,False,0.7,-0.0322,False,0.6471,-0.0292,False,0.2466,0.0176,False,0.4167,0.0458,False,0.3,0.0322,False,0.3529,0.0292,False,,0,51.77,37.49,74.46,80.0,1.22,1.0
ClickGroup_Participant,Med-Engagement,146,0.7123,0.0121,48,16,56,26,0.7123,0.0121,False,0.3288,0.0149,False,0.6486,0.0195,False,0.7778,0.0067,False,0.75,0.0178,False,0.6829,0.0067,False,0.2222,-0.0067,False,0.3514,-0.0195,False,0.25,-0.0178,False,0.3171,-0.0067,False,,0,44.04,36.67,77.82,84.0,1.3,1.0
ClickGroup_Participant,High-Engagement,136,0.7206,0.0204,44,15,54,23,0.7206,0.0204,False,0.3235,0.0097,False,0.6567,0.0276,False,0.7826,0.0116,False,0.7458,0.0135,False,0.7013,0.0251,False,0.2174,-0.0116,False,0.3433,-0.0276,False,0.2542,-0.0135,False,0.2987,-0.0251,False,,0,44.07,35.25,75.08,79.5,3.64,3.0
EngagementGroup_Participant,Disengaged,143,0.6573,-0.0429,41,19,53,30,0.6573,-0.0429,False,0.2867,-0.0271,False,0.5775,-0.0516,False,0.7361,-0.0349,False,0.6833,-0.0489,False,0.6386,-0.0377,False,0.2639,0.0349,False,0.4225,0.0516,False,0.3167,0.0489,False,0.3614,0.0377,False,,0,35.94,24.92,66.73,71.0,1.31,1.0
EngagementGroup_Participant,Moderate,140,0.7071,0.0069,47,18,52,23,0.7071,0.0069,False,0.3357,0.0219,False,0.6714,0.0423,False,0.7429,-0.0282,False,0.7231,-0.0092,False,0.6933,0.0171,False,0.2571,0.0282,False,0.3286,-0.0423,False,0.2769,0.0092,False,0.3067,-0.0171,False,,0,45.34,39.98,78.66,82.0,1.59,1.0
EngagementGroup_Participant,Highly-Engaged,144,0.7361,0.0359,46,12,60,26,0.7361,0.0359,False,0.3194,0.0056,False,0.6389,0.0098,False,0.8333,0.0623,False,0.7931,0.0609,False,0.6977,0.0214,False,0.1667,-0.0623,False,0.3611,-0.0098,False,0.2069,-0.0609,False,0.3023,-0.0214,False,,0,58.64,47.8,82.04,90.0,3.15,3.0
DecisionSpeedGroup_Decision,Fast,143,0.7343,0.034,42,10,63,28,0.7343,0.034,False,0.2937,-0.0201,False,0.6,-0.0291,False,0.863,0.092,False,0.8077,0.0755,False,0.6923,0.0161,False,0.137,-0.092,False,0.4,0.0291,False,0.1923,-0.0755,False,0.3077,-0.0161,False,,0,15.01,15.77,77.53,81.0,2.08,1.0
DecisionSpeedGroup_Decision,Medium,142,0.6831,-0.0171,49,18,48,27,0.6831,-0.0171,False,0.3451,0.0313,False,0.6447,0.0156,False,0.7273,-0.0438,False,0.7313,-0.0009,False,0.64,-0.0362,False,0.2727,0.0438,False,0.3553,-0.0156,False,0.2687,0.0009,False,0.36,0.0362,False,,0,37.47,36.6,75.44,80.0,1.99,1.0
DecisionSpeedGroup_Decision,Slow,142,0.6831,-0.0171,43,21,54,24,0.6831,-0.0171,False,0.3028,-0.011,False,0.6418,0.0127,False,0.72,-0.051,False,0.6719,-0.0604,False,0.6923,0.0161,False,0.28,0.051,False,0.3582,-0.0127,False,0.3281,0.0604,False,0.3077,-0.0161,False,,0,87.77,77.29,74.43,80.0,1.99,1.0
