Partition,Group,QuestionNum,GroupAcc,OverallQAcc,Disparity,N,Fisher_OR,Fisher_p,Classification
LinguisticGroup,Native,1,0.7143,0.717,-0.0027,42,0.9375,1.0,FAIR
LinguisticGroup,Non-Native,1,0.7273,0.717,0.0103,11,1.0667,1.0,FAIR
LinguisticGroup,Native,2,0.6829,0.6346,0.0483,41,2.5846,0.1807,FAIR
LinguisticGroup,Non-Native,2,0.4545,0.6346,-0.1801,11,0.3869,0.1807,BORDERLINE
LinguisticGroup,Native,3,0.7143,0.7308,-0.0165,42,0.625,0.7096,FAIR
LinguisticGroup,Non-Native,3,0.8,0.7308,0.0692,10,1.6,0.7096,PASSIVE
LinguisticGroup,Native,4,0.7727,0.7593,0.0135,44,1.4571,0.6886,FAIR
LinguisticGroup,Non-Native,4,0.7,0.7593,-0.0593,10,0.6863,0.6886,PASSIVE
LinguisticGroup,Native,5,0.6136,0.6364,-0.0227,44,0.5956,0.7277,FAIR
LinguisticGroup,Non-Native,5,0.7273,0.6364,0.0909,11,1.679,0.7277,PASSIVE
LinguisticGroup,Native,6,0.6279,0.5283,0.0996,43,15.1875,0.0038,PASSIVE
LinguisticGroup,Non-Native,6,0.1,0.5283,-0.4283,10,0.0658,0.0038,ACTIVE-UNFAIR
LinguisticGroup,Native,7,0.7045,0.6909,0.0136,44,1.3626,0.7221,FAIR
LinguisticGroup,Non-Native,7,0.6364,0.6909,-0.0545,11,0.7339,0.7221,PASSIVE
LinguisticGroup,Native,8,0.881,0.9057,-0.0247,42,0.0,0.571,FAIR
LinguisticGroup,Non-Native,8,1.0,0.9057,0.0943,11,inf,0.571,PASSIVE
ExpertiseGroup,Non-STEM,1,0.7059,0.717,-0.0111,17,0.9231,1.0,FAIR
ExpertiseGroup,STEM,1,0.7222,0.717,0.0052,36,1.0833,1.0,FAIR
ExpertiseGroup,Non-STEM,2,0.5882,0.6346,-0.0464,17,0.7453,0.7607,FAIR
ExpertiseGroup,STEM,2,0.6571,0.6346,0.0225,35,1.3417,0.7607,FAIR
ExpertiseGroup,Non-STEM,3,0.7059,0.7308,-0.0249,17,0.8308,1.0,FAIR
ExpertiseGroup,STEM,3,0.7429,0.7308,0.0121,35,1.2037,1.0,FAIR
ExpertiseGroup,Non-STEM,4,0.8235,0.7593,0.0643,17,1.7284,0.5172,PASSIVE
ExpertiseGroup,STEM,4,0.7297,0.7593,-0.0295,37,0.5786,0.5172,FAIR
ExpertiseGroup,Non-STEM,5,0.5882,0.6364,-0.0481,17,0.7429,0.763,FAIR
ExpertiseGroup,STEM,5,0.6579,0.6364,0.0215,38,1.3462,0.763,FAIR
ExpertiseGroup,Non-STEM,6,0.5294,0.5283,0.0011,17,1.0066,1.0,FAIR
ExpertiseGroup,STEM,6,0.5278,0.5283,-0.0005,36,0.9935,1.0,FAIR
ExpertiseGroup,Non-STEM,7,0.7647,0.6909,0.0738,17,1.69,0.5363,PASSIVE
ExpertiseGroup,STEM,7,0.6579,0.6909,-0.033,38,0.5917,0.5363,FAIR
ExpertiseGroup,Non-STEM,8,0.8824,0.9057,-0.0233,17,0.6818,0.651,FAIR
ExpertiseGroup,STEM,8,0.9167,0.9057,0.011,36,1.4667,0.651,FAIR
ExperienceGroup,High-Edu,1,0.6667,0.717,-0.0503,18,0.6923,0.7483,PASSIVE
ExperienceGroup,Lower-Edu,1,0.7429,0.717,0.0259,35,1.4444,0.7483,FAIR
ExperienceGroup,High-Edu,2,0.5263,0.6346,-0.1083,19,0.4831,0.246,BORDERLINE
ExperienceGroup,Lower-Edu,2,0.697,0.6346,0.0624,33,2.07,0.246,PASSIVE
ExperienceGroup,High-Edu,3,0.7895,0.7308,0.0587,19,1.6304,0.5335,PASSIVE
ExperienceGroup,Lower-Edu,3,0.697,0.7308,-0.0338,33,0.6133,0.5335,FAIR
ExperienceGroup,High-Edu,4,0.75,0.7593,-0.0093,20,0.9231,1.0,FAIR
ExperienceGroup,Lower-Edu,4,0.7647,0.7593,0.0054,34,1.0833,1.0,FAIR
ExperienceGroup,High-Edu,5,0.7,0.6364,0.0636,20,1.5556,0.5653,PASSIVE
ExperienceGroup,Lower-Edu,5,0.6,0.6364,-0.0364,35,0.6429,0.5653,FAIR
ExperienceGroup,High-Edu,6,0.4737,0.5283,-0.0546,19,0.7105,0.5796,PASSIVE
ExperienceGroup,Lower-Edu,6,0.5588,0.5283,0.0305,34,1.4074,0.5796,FAIR
ExperienceGroup,High-Edu,7,0.55,0.6909,-0.1409,20,0.3621,0.1298,BORDERLINE
ExperienceGroup,Lower-Edu,7,0.7714,0.6909,0.0805,35,2.7614,0.1298,PASSIVE
ExperienceGroup,High-Edu,8,0.8947,0.9057,-0.0109,19,0.8226,1.0,FAIR
ExperienceGroup,Lower-Edu,8,0.9118,0.9057,0.0061,34,1.2157,1.0,FAIR
AgeGroup,Older-35plus,1,0.7576,0.717,0.0406,33,1.6827,0.5312,FAIR
AgeGroup,Young-18-34,1,0.65,0.717,-0.067,20,0.5943,0.5312,PASSIVE
AgeGroup,Older-35plus,2,0.7188,0.6346,0.0841,32,2.5556,0.144,PASSIVE
AgeGroup,Young-18-34,2,0.5,0.6346,-0.1346,20,0.3913,0.144,BORDERLINE
AgeGroup,Older-35plus,3,0.697,0.7308,-0.0338,33,0.6133,0.5335,FAIR
AgeGroup,Young-18-34,3,0.7895,0.7308,0.0587,19,1.6304,0.5335,PASSIVE
AgeGroup,Older-35plus,4,0.7647,0.7593,0.0054,34,1.0833,1.0,FAIR
AgeGroup,Young-18-34,4,0.75,0.7593,-0.0093,20,0.9231,1.0,FAIR
AgeGroup,Older-35plus,5,0.6176,0.6364,-0.0187,34,0.8077,0.7791,FAIR
AgeGroup,Young-18-34,5,0.6667,0.6364,0.0303,21,1.2381,0.7791,FAIR
AgeGroup,Older-35plus,6,0.4848,0.5283,-0.0435,33,0.6275,0.5712,FAIR
AgeGroup,Young-18-34,6,0.6,0.5283,0.0717,20,1.5938,0.5712,PASSIVE
AgeGroup,Older-35plus,7,0.6765,0.6909,-0.0144,34,0.8364,1.0,FAIR
AgeGroup,Young-18-34,7,0.7143,0.6909,0.0234,21,1.1957,1.0,FAIR
AgeGroup,Older-35plus,8,0.9062,0.9057,0.0006,32,1.0175,1.0,FAIR
AgeGroup,Young-18-34,8,0.9048,0.9057,-0.0009,21,0.9828,1.0,FAIR
