Stage,Metric,Value
Before,Overall_Accuracy,0.6729
Before,Overall_TPR,0.5875
Before,N_Rows,480.0
Before,N_Annotators,60.0
Before,LinguisticGroup_Native_AP,0.6811
Before,LinguisticGroup_Native_AP_d,0.0082
Before,LinguisticGroup_Native_TPR_d,0.0196
Before,LinguisticGroup_Native_N,392.0
Before,LinguisticGroup_Non-Native_AP,0.6364
Before,LinguisticGroup_Non-Native_AP_d,-0.0366
Before,LinguisticGroup_Non-Native_TPR_d,-0.0875
Before,LinguisticGroup_Non-Native_N,88.0
Before,ExpertiseGroup_Non-STEM_AP,0.6736
Before,ExpertiseGroup_Non-STEM_AP_d,0.0007
Before,ExpertiseGroup_Non-STEM_TPR_d,-0.0042
Before,ExpertiseGroup_Non-STEM_N,144.0
Before,ExpertiseGroup_STEM_AP,0.6726
Before,ExpertiseGroup_STEM_AP_d,-0.0003
Before,ExpertiseGroup_STEM_TPR_d,0.0018
Before,ExpertiseGroup_STEM_N,336.0
Before,ExperienceGroup_High-Edu_AP,0.6667
Before,ExperienceGroup_High-Edu_AP_d,-0.0063
Before,ExperienceGroup_High-Edu_TPR_d,-0.0161
Before,ExperienceGroup_High-Edu_N,168.0
Before,ExperienceGroup_Lower-Edu_AP,0.6763
Before,ExperienceGroup_Lower-Edu_AP_d,0.0034
Before,ExperienceGroup_Lower-Edu_TPR_d,0.0087
Before,ExperienceGroup_Lower-Edu_N,312.0
Before,AgeGroup_Older-35plus_AP,0.6678
Before,AgeGroup_Older-35plus_AP_d,-0.0052
Before,AgeGroup_Older-35plus_TPR_d,0.0112
Before,AgeGroup_Older-35plus_N,304.0
Before,AgeGroup_Young-18-34_AP,0.6818
Before,AgeGroup_Young-18-34_AP_d,0.0089
Before,AgeGroup_Young-18-34_TPR_d,-0.0193
Before,AgeGroup_Young-18-34_N,176.0
Before,CalibGap_LinguisticGroup_Native,0.0899
Before,CalibGap_LinguisticGroup_Non-Native,0.1259
Before,CalibGap_ExpertiseGroup_Non-STEM,0.0643
Before,CalibGap_ExpertiseGroup_STEM,0.1103
Before,CalibGap_ExperienceGroup_High-Edu,0.1483
Before,CalibGap_ExperienceGroup_Lower-Edu,0.0686
Before,CalibGap_AgeGroup_Older-35plus,0.1102
Before,CalibGap_AgeGroup_Young-18-34,0.0729
After,Overall_Accuracy,0.7002
After,Overall_TPR,0.6291
After,N_Rows,427.0
After,N_Annotators,56.0
After,LinguisticGroup_Native_AP,0.7135
After,LinguisticGroup_Native_AP_d,0.0132
After,LinguisticGroup_Native_TPR_d,0.0297
After,LinguisticGroup_Native_N,342.0
After,LinguisticGroup_Non-Native_AP,0.6471
After,LinguisticGroup_Non-Native_AP_d,-0.0532
After,LinguisticGroup_Non-Native_TPR_d,-0.1175
After,LinguisticGroup_Non-Native_N,85.0
After,ExpertiseGroup_Non-STEM_AP,0.6985
After,ExpertiseGroup_Non-STEM_AP_d,-0.0017
After,ExpertiseGroup_Non-STEM_TPR_d,-0.0262
After,ExpertiseGroup_Non-STEM_N,136.0
After,ExpertiseGroup_STEM_AP,0.701
After,ExpertiseGroup_STEM_AP_d,0.0008
After,ExpertiseGroup_STEM_TPR_d,0.0123
After,ExpertiseGroup_STEM_N,291.0
After,ExperienceGroup_High-Edu_AP,0.6688
After,ExperienceGroup_High-Edu_AP_d,-0.0314
After,ExperienceGroup_High-Edu_TPR_d,-0.037
After,ExperienceGroup_High-Edu_N,154.0
After,ExperienceGroup_Lower-Edu_AP,0.7179
After,ExperienceGroup_Lower-Edu_AP_d,0.0177
After,ExperienceGroup_Lower-Edu_TPR_d,0.0205
After,ExperienceGroup_Lower-Edu_N,273.0
After,AgeGroup_Older-35plus_AP,0.7019
After,AgeGroup_Older-35plus_AP_d,0.0017
After,AgeGroup_Older-35plus_TPR_d,0.0148
After,AgeGroup_Older-35plus_N,265.0
After,AgeGroup_Young-18-34_AP,0.6975
After,AgeGroup_Young-18-34_AP_d,-0.0027
After,AgeGroup_Young-18-34_TPR_d,-0.0242
After,AgeGroup_Young-18-34_N,162.0
After,CalibGap_LinguisticGroup_Native,0.0453
After,CalibGap_LinguisticGroup_Non-Native,0.1082
After,CalibGap_ExpertiseGroup_Non-STEM,0.024
After,CalibGap_ExpertiseGroup_STEM,0.0736
After,CalibGap_ExperienceGroup_High-Edu,0.13
After,CalibGap_ExperienceGroup_Lower-Edu,0.0171
After,CalibGap_AgeGroup_Older-35plus,0.0548
After,CalibGap_AgeGroup_Young-18-34,0.0628
