Partition,Group,QuestionNum,GroupAcc,OverallAcc,Disparity,N
LinguisticGroup,Native,1,0.6939,0.7,-0.0061,49
LinguisticGroup,Native,2,0.6122,0.5833,0.0289,49
LinguisticGroup,Native,3,0.7143,0.7167,-0.0024,49
LinguisticGroup,Native,4,0.7551,0.75,0.0051,49
LinguisticGroup,Native,5,0.551,0.5833,-0.0323,49
LinguisticGroup,Native,6,0.5714,0.4833,0.0881,49
LinguisticGroup,Native,7,0.6939,0.6833,0.0105,49
LinguisticGroup,Native,8,0.8571,0.8833,-0.0262,49
LinguisticGroup,Non-Native,1,0.7273,0.7,0.0273,11
LinguisticGroup,Non-Native,2,0.4545,0.5833,-0.1288,11
LinguisticGroup,Non-Native,3,0.7273,0.7167,0.0106,11
LinguisticGroup,Non-Native,4,0.7273,0.75,-0.0227,11
LinguisticGroup,Non-Native,5,0.7273,0.5833,0.1439,11
LinguisticGroup,Non-Native,6,0.0909,0.4833,-0.3924,11
LinguisticGroup,Non-Native,7,0.6364,0.6833,-0.047,11
LinguisticGroup,Non-Native,8,1.0,0.8833,0.1167,11
ExpertiseGroup,Non-STEM,1,0.6667,0.7,-0.0333,18
ExpertiseGroup,Non-STEM,2,0.5556,0.5833,-0.0278,18
ExpertiseGroup,Non-STEM,3,0.7222,0.7167,0.0056,18
ExpertiseGroup,Non-STEM,4,0.7778,0.75,0.0278,18
ExpertiseGroup,Non-STEM,5,0.5556,0.5833,-0.0278,18
ExpertiseGroup,Non-STEM,6,0.5556,0.4833,0.0722,18
ExpertiseGroup,Non-STEM,7,0.7222,0.6833,0.0389,18
ExpertiseGroup,Non-STEM,8,0.8333,0.8833,-0.05,18
ExpertiseGroup,STEM,1,0.7143,0.7,0.0143,42
ExpertiseGroup,STEM,2,0.5952,0.5833,0.0119,42
ExpertiseGroup,STEM,3,0.7143,0.7167,-0.0024,42
ExpertiseGroup,STEM,4,0.7381,0.75,-0.0119,42
ExpertiseGroup,STEM,5,0.5952,0.5833,0.0119,42
ExpertiseGroup,STEM,6,0.4524,0.4833,-0.031,42
ExpertiseGroup,STEM,7,0.6667,0.6833,-0.0167,42
ExpertiseGroup,STEM,8,0.9048,0.8833,0.0214,42
ExperienceGroup,High-Edu,1,0.6667,0.7,-0.0333,21
ExperienceGroup,High-Edu,2,0.5238,0.5833,-0.0595,21
ExperienceGroup,High-Edu,3,0.8095,0.7167,0.0929,21
ExperienceGroup,High-Edu,4,0.7619,0.75,0.0119,21
ExperienceGroup,High-Edu,5,0.6667,0.5833,0.0833,21
ExperienceGroup,High-Edu,6,0.4286,0.4833,-0.0548,21
ExperienceGroup,High-Edu,7,0.5714,0.6833,-0.1119,21
ExperienceGroup,High-Edu,8,0.9048,0.8833,0.0214,21
ExperienceGroup,Lower-Edu,1,0.7179,0.7,0.0179,39
ExperienceGroup,Lower-Edu,2,0.6154,0.5833,0.0321,39
ExperienceGroup,Lower-Edu,3,0.6667,0.7167,-0.05,39
ExperienceGroup,Lower-Edu,4,0.7436,0.75,-0.0064,39
ExperienceGroup,Lower-Edu,5,0.5385,0.5833,-0.0449,39
ExperienceGroup,Lower-Edu,6,0.5128,0.4833,0.0295,39
ExperienceGroup,Lower-Edu,7,0.7436,0.6833,0.0603,39
ExperienceGroup,Lower-Edu,8,0.8718,0.8833,-0.0115,39
AgeGroup,Older-35plus,1,0.7368,0.7,0.0368,38
AgeGroup,Older-35plus,2,0.6579,0.5833,0.0746,38
AgeGroup,Older-35plus,3,0.6842,0.7167,-0.0325,38
AgeGroup,Older-35plus,4,0.7368,0.75,-0.0132,38
AgeGroup,Older-35plus,5,0.5526,0.5833,-0.0307,38
AgeGroup,Older-35plus,6,0.4474,0.4833,-0.036,38
AgeGroup,Older-35plus,7,0.6579,0.6833,-0.0254,38
AgeGroup,Older-35plus,8,0.8684,0.8833,-0.0149,38
AgeGroup,Young-18-34,1,0.6364,0.7,-0.0636,22
AgeGroup,Young-18-34,2,0.4545,0.5833,-0.1288,22
AgeGroup,Young-18-34,3,0.7727,0.7167,0.0561,22
AgeGroup,Young-18-34,4,0.7727,0.75,0.0227,22
AgeGroup,Young-18-34,5,0.6364,0.5833,0.053,22
AgeGroup,Young-18-34,6,0.5455,0.4833,0.0621,22
AgeGroup,Young-18-34,7,0.7273,0.6833,0.0439,22
AgeGroup,Young-18-34,8,0.9091,0.8833,0.0258,22
