Tier,Partition,Group,N,TP,FP,TN,FN,Accuracy,TPR,FPR,Accuracy_Disparity,TPR_Disparity,Overall_Accuracy,Overall_TPR,UNFAIR_ACC,UNFAIR_TPR
"Hard (Q2,Q5,Q6)",LinguisticGroup,Native,147,85,0,0,62,0.5782,0.5782,0.0,0.0282,0.0282,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",LinguisticGroup,Non-Native,33,14,0,0,19,0.4242,0.4242,0.0,-0.1258,-0.1258,0.55,0.55,True,True
"Hard (Q2,Q5,Q6)",ExpertiseGroup,Non-STEM,54,30,0,0,24,0.5556,0.5556,0.0,0.0056,0.0056,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",ExpertiseGroup,STEM,126,69,0,0,57,0.5476,0.5476,0.0,-0.0024,-0.0024,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",ExperienceGroup,High-Edu,63,34,0,0,29,0.5397,0.5397,0.0,-0.0103,-0.0103,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",ExperienceGroup,Lower-Edu,117,65,0,0,52,0.5556,0.5556,0.0,0.0056,0.0056,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",AgeGroup,Older-35plus,114,63,0,0,51,0.5526,0.5526,0.0,0.0026,0.0026,0.55,0.55,False,False
"Hard (Q2,Q5,Q6)",AgeGroup,Young-18-34,66,36,0,0,30,0.5455,0.5455,0.0,-0.0045,-0.0045,0.55,0.55,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",LinguisticGroup,Native,245,34,48,148,15,0.7429,0.6939,0.2449,-0.0038,-0.0061,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",LinguisticGroup,Non-Native,55,8,10,34,3,0.7636,0.7273,0.2273,0.017,0.0273,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",ExpertiseGroup,Non-STEM,90,12,17,55,6,0.7444,0.6667,0.2361,-0.0022,-0.0333,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",ExpertiseGroup,STEM,210,30,41,127,12,0.7476,0.7143,0.244,0.001,0.0143,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",ExperienceGroup,High-Edu,105,14,20,64,7,0.7429,0.6667,0.2381,-0.0038,-0.0333,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",ExperienceGroup,Lower-Edu,195,28,38,118,11,0.7487,0.7179,0.2436,0.0021,0.0179,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",AgeGroup,Older-35plus,190,28,40,112,10,0.7368,0.7368,0.2632,-0.0098,0.0368,0.7467,0.7,False,False
"Easy (Q1,Q3,Q4,Q7,Q8)",AgeGroup,Young-18-34,110,14,18,70,8,0.7636,0.6364,0.2045,0.017,-0.0636,0.7467,0.7,False,False
