Source,Partition,Group,N,TP,FP,TN,FN,Accuracy,TPR,FPR,PPV,Accuracy_Disparity,TPR_Disparity,FPR_Disparity,CalibrationGap,TPR_Fair
TUNE,LinguisticGroup,Native,184,61,37,55,31,0.6304,0.663,0.4022,0.6224,0.0162,0.051,0.0186,0.1083,True
TUNE,LinguisticGroup,Non-Native,280,81,52,88,59,0.6036,0.5786,0.3714,0.609,-0.0107,-0.0335,-0.0122,0.1822,True
TUNE,ExpertiseGroup,Non-STEM,56,21,12,16,7,0.6607,0.75,0.4286,0.6364,0.0465,0.1379,0.045,0.1154,False
TUNE,ExpertiseGroup,STEM,408,121,77,127,83,0.6078,0.5931,0.3775,0.6111,-0.0064,-0.0189,-0.0062,0.1581,True
TUNE,ExperienceGroup,High-Edu,144,38,25,47,34,0.5903,0.5278,0.3472,0.6032,-0.0239,-0.0843,-0.0364,0.2094,True
TUNE,ExperienceGroup,Lower-Edu,320,104,64,96,56,0.625,0.65,0.4,0.619,0.0108,0.0379,0.0164,0.1275,True
Synthetic-Faculty,LinguisticGroup,Native,1080,537,38,322,183,0.7954,0.7458,0.1056,0.9339,0.0491,0.0636,-0.02,-0.0488,True
Synthetic-Faculty,LinguisticGroup,Non-Native,1620,691,75,465,389,0.7136,0.6398,0.1389,0.9021,-0.0327,-0.0424,0.0133,0.0841,True
Synthetic-Faculty,ExpertiseGroup,Non-STEM,450,199,21,129,101,0.7289,0.6633,0.14,0.9045,-0.0174,-0.0189,0.0144,0.0666,True
Synthetic-Faculty,ExpertiseGroup,STEM,2250,1029,92,658,471,0.7498,0.686,0.1227,0.9179,0.0035,0.0038,-0.0029,0.0238,True
Synthetic-Faculty,ExperienceGroup,High-Edu,900,423,34,266,177,0.7656,0.705,0.1133,0.9256,0.0193,0.0228,-0.0122,0.0115,True
Synthetic-Faculty,ExperienceGroup,Lower-Edu,1800,805,79,521,395,0.7367,0.6708,0.1317,0.9106,-0.0096,-0.0114,0.0061,0.0406,True
Synthetic-Compas,LinguisticGroup,Native,1080,539,43,317,181,0.7926,0.7486,0.1194,0.9261,0.0489,0.0575,-0.0317,-0.0425,True
Synthetic-Compas,LinguisticGroup,Non-Native,1620,705,93,447,375,0.7111,0.6528,0.1722,0.8835,-0.0326,-0.0383,0.0211,0.0849,True
Synthetic-Compas,ExpertiseGroup,Non-STEM,450,186,22,128,114,0.6978,0.62,0.1467,0.8942,-0.0459,-0.0711,-0.0044,0.0936,True
Synthetic-Compas,ExpertiseGroup,STEM,2250,1058,114,636,442,0.7529,0.7053,0.152,0.9027,0.0092,0.0142,0.0009,0.022,True
Synthetic-Compas,ExperienceGroup,High-Edu,1260,573,59,361,267,0.7413,0.6821,0.1405,0.9066,-0.0024,-0.009,-0.0106,0.0339,True
Synthetic-Compas,ExperienceGroup,Lower-Edu,1440,671,77,403,289,0.7458,0.699,0.1604,0.8971,0.0021,0.0078,0.0093,0.034,True
