PairID,TableA_Schema,TableB_Schema,IsUnionable,DemographicAttr,MaleFraction,FemaleFraction,DominantGroup,PerturbationLevel,SchemaMatch,N_Rows_A,N_Rows_B
0,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.65,0.05,male,low,True,20,20
1,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.65,0.05,male,none,False,20,20
2,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['naue', 'institution', 'region', 'countyabbrv', 'Gender']",1,Gender,0.65,0.05,male,high,False,20,20
3,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.5,0.075,male,low,True,20,20
4,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.5,0.075,male,none,False,20,20
5,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'insttution', 'regior', 'countryabbrv', 'Gender']",1,Gender,0.5,0.075,male,high,False,20,20
6,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.45,0.05,male,low,True,20,20
7,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.45,0.05,male,none,False,20,20
8,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institutyon', 'region', 'countryabbrv', 'Geyder']",1,Gender,0.45,0.05,male,high,False,20,20
9,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.525,0.075,male,low,True,20,20
10,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.525,0.075,male,none,False,20,20
11,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['kame', 'instituthon', 'region', 'countryabbrv', 'Gender']",1,Gender,0.525,0.075,male,high,False,20,20
12,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.55,0.075,male,low,True,20,20
13,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.55,0.075,male,none,False,20,20
14,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'inmtitution', 'region', 'countriabbrv', 'Gender']",1,Gender,0.55,0.075,male,high,False,20,20
15,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.425,0.15,male,low,True,20,20
16,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.425,0.15,male,none,False,20,20
17,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'aregion', 'countryabsbrv', 'Gender']",1,Gender,0.425,0.15,male,high,False,20,20
18,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.475,0.2,male,low,True,20,20
19,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.475,0.2,male,none,False,20,20
20,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'instittion', 'regon', 'countryabbrv', 'Gender']",1,Gender,0.475,0.2,male,high,False,20,20
21,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.45,0.175,male,low,True,20,20
22,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.45,0.175,male,none,False,20,20
23,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institutiog', 'region', 'countryabbrv', 'Geinder']",1,Gender,0.45,0.175,male,high,False,20,20
24,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.6,0.175,male,low,True,20,20
25,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.6,0.175,male,none,False,20,20
26,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'rgion', 'countryabbrjv', 'Gender']",1,Gender,0.6,0.175,male,high,False,20,20
27,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.425,0.15,male,low,True,20,20
28,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.425,0.15,male,none,False,20,20
29,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['nwame', 'institution', 'region', 'countrabbrv', 'Gender']",1,Gender,0.425,0.15,male,high,False,20,20
30,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'institution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.6,0.1,male,low,True,20,20
31,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['name', 'homepage', 'scholarid']",0,Gender,0.6,0.1,male,none,False,20,20
32,"['name', 'institution', 'region', 'countryabbrv', 'Gender']","['nmme', 'intitution', 'region', 'countryabbrv', 'Gender']",1,Gender,0.6,0.1,male,high,False,20,20
