Intersection,Group,N,N_Annotators,AP,AP_d,SP,SP_d,TPR,TPR_d,TNR,TNR_d,PPV,PPV_d,NPV,NPV_d,FPR,FPR_d,FNR,FNR_d,FDR,FDR_d,FOR,FOR_d,Unfair_Metrics,N_Unfair
LinguisticGroup xExpertiseGroup,Native xNon-STEM,120,15,0.6917,0.0187,0.3,0.0062,0.6,0.0125,0.7833,0.025,0.7347,0.0262,0.662,0.0143,0.2167,-0.025,0.4,-0.0125,0.2653,-0.0262,0.338,-0.0143,,0
LinguisticGroup xExpertiseGroup,Native xSTEM,272,34,0.6765,0.0036,0.3051,0.0114,0.6103,0.0228,0.7426,-0.0157,0.7034,-0.0052,0.6558,0.0082,0.2574,0.0157,0.3897,-0.0228,0.2966,0.0052,0.3442,-0.0082,,0
LinguisticGroup xExpertiseGroup,Non-Native xNon-STEM,24,3,0.5833,-0.0896,0.25,-0.0438,0.5,-0.0875,0.6667,-0.0917,0.6,-0.1085,0.5714,-0.0763,0.3333,0.0917,0.5,0.0875,0.4,0.1085,0.4286,0.0763,PPV(-0.109); FDR(+0.109),2
LinguisticGroup xExpertiseGroup,Non-Native xSTEM,64,8,0.6562,-0.0167,0.25,-0.0438,0.5,-0.0875,0.8125,0.0542,0.7273,0.0187,0.619,-0.0286,0.1875,-0.0542,0.5,0.0875,0.2727,-0.0187,0.381,0.0286,,0
LinguisticGroup xExperienceGroup,Native xHigh-Edu,144,18,0.6806,0.0076,0.2847,-0.009,0.5694,-0.0181,0.7917,0.0333,0.7321,0.0236,0.6477,0.0,0.2083,-0.0333,0.4306,0.0181,0.2679,-0.0236,0.3523,-0.0,,0
LinguisticGroup xExperienceGroup,Native xLower-Edu,248,31,0.6815,0.0085,0.3145,0.0208,0.629,0.0415,0.7339,-0.0245,0.7027,-0.0058,0.6642,0.0165,0.2661,0.0245,0.371,-0.0415,0.2973,0.0058,0.3358,-0.0165,,0
LinguisticGroup xExperienceGroup,Non-Native xHigh-Edu,24,3,0.5833,-0.0896,0.2917,-0.0021,0.5833,-0.0042,0.5833,-0.175,0.5833,-0.1252,0.5833,-0.0644,0.4167,0.175,0.4167,0.0042,0.4167,0.1252,0.4167,0.0644,TNR(-0.175); PPV(-0.125); FPR(+0.175); FDR(+0.125),4
LinguisticGroup xExperienceGroup,Non-Native xLower-Edu,64,8,0.6562,-0.0167,0.2344,-0.0594,0.4688,-0.1188,0.8438,0.0854,0.75,0.0415,0.6136,-0.0341,0.1562,-0.0854,0.5312,0.1188,0.25,-0.0415,0.3864,0.0341,TPR(-0.119); FNR(+0.119),2
LinguisticGroup xAgeGroup,Native xOlder-35plus,256,32,0.6641,-0.0089,0.3047,0.0109,0.6094,0.0219,0.7188,-0.0396,0.6842,-0.0243,0.6479,0.0002,0.2812,0.0396,0.3906,-0.0219,0.3158,0.0243,0.3521,-0.0002,,0
LinguisticGroup xAgeGroup,Native xYoung-18-34,136,17,0.7132,0.0403,0.3015,0.0077,0.6029,0.0154,0.8235,0.0652,0.7736,0.065,0.6747,0.027,0.1765,-0.0652,0.3971,-0.0154,0.2264,-0.065,0.3253,-0.027,,0
