Version,Question,N,Accuracy,VersionAccuracy,Old_Difficulty,Perf_Difficulty,Disagree_Difficulty,Match_Old_Perf
1,1,14,0.429,0.471,Easy,Hard,Hard,False
1,2,14,0.714,0.647,Hard,Medium,Medium,False
1,3,13,0.538,0.529,Easy,Hard,Hard,False
1,4,15,0.733,0.706,Easy,Medium,Medium,False
1,5,14,0.643,0.529,Hard,Hard,Hard,True
1,6,14,0.286,0.235,Hard,Hard,Easy,True
1,7,15,0.867,0.882,Easy,Easy,Easy,True
1,8,12,1.0,0.941,Easy,Easy,Easy,True
2,1,13,0.846,0.8,Easy,Medium,Easy,False
2,2,11,0.636,0.533,Hard,Hard,Hard,True
2,3,12,0.583,0.6,Easy,Medium,Hard,False
2,4,12,0.917,0.867,Easy,Easy,Easy,True
2,5,14,0.643,0.6,Hard,Medium,Hard,False
2,6,13,0.923,0.867,Hard,Easy,Easy,False
2,7,13,0.154,0.133,Easy,Hard,Easy,False
2,8,14,0.857,0.8,Easy,Medium,Easy,False
3,1,14,0.643,0.6,Easy,Medium,Hard,False
3,2,14,0.429,0.4,Hard,Hard,Hard,True
3,3,14,0.929,0.933,Easy,Easy,Easy,True
3,4,14,0.786,0.8,Easy,Medium,Easy,False
3,5,14,0.857,0.8,Hard,Medium,Easy,False
3,6,14,0.357,0.333,Hard,Hard,Medium,True
3,7,14,0.857,0.867,Easy,Easy,Easy,True
3,8,14,0.929,0.933,Easy,Easy,Easy,True
4,1,12,1.0,1.0,Easy,Easy,Easy,True
4,2,13,0.769,0.769,Hard,Medium,Easy,False
4,3,13,0.846,0.846,Easy,Easy,Easy,True
4,4,13,0.615,0.615,Easy,Medium,Hard,False
4,5,13,0.385,0.385,Hard,Hard,Hard,True
4,6,12,0.583,0.538,Hard,Hard,Hard,True
4,7,13,0.846,0.846,Easy,Easy,Easy,True
4,8,13,0.846,0.846,Easy,Easy,Easy,True
