Tier,Partition,Group,N,Accuracy,TPR,Acc_Disparity,TPR_Disparity,UNFAIR_ACC,UNFAIR_TPR
Hard,LinguisticGroup,Native,104,0.4904,0.5357,0.051,0.0735,False,False
Hard,LinguisticGroup,Non-Native,28,0.25,0.1818,-0.1894,-0.2804,True,True
Hard,ExpertiseGroup,Non-STEM,42,0.4286,0.4286,-0.0108,-0.0337,False,False
Hard,ExpertiseGroup,STEM,90,0.4444,0.4789,0.0051,0.0166,False,False
Hard,ExperienceGroup,High-Edu,50,0.46,0.4634,0.0206,0.0012,False,False
Hard,ExperienceGroup,Lower-Edu,82,0.4268,0.4615,-0.0126,-0.0007,False,False
Hard,AgeGroup,Older-35plus,85,0.4824,0.4853,0.043,0.023,False,False
Hard,AgeGroup,Young-18-34,47,0.3617,0.4211,-0.0777,-0.0412,False,False
Medium,LinguisticGroup,Native,120,0.7083,0.7077,-0.025,-0.0362,False,False
Medium,LinguisticGroup,Non-Native,30,0.8333,0.8824,0.1,0.1385,True,True
Medium,ExpertiseGroup,Non-STEM,45,0.7556,0.72,0.0222,-0.0239,False,False
Medium,ExpertiseGroup,STEM,105,0.7238,0.7544,-0.0095,0.0105,False,False
Medium,ExperienceGroup,High-Edu,51,0.6863,0.6667,-0.0471,-0.0772,False,False
Medium,ExperienceGroup,Lower-Edu,99,0.7576,0.7818,0.0242,0.0379,False,False
Medium,AgeGroup,Older-35plus,90,0.7222,0.766,-0.0111,0.0221,False,False
Medium,AgeGroup,Young-18-34,60,0.75,0.7143,0.0167,-0.0296,False,False
Easy,LinguisticGroup,Native,118,0.9153,1.0,0.0118,0.04,False,False
Easy,LinguisticGroup,Non-Native,27,0.8519,0.75,-0.0516,-0.21,False,True
Easy,ExpertiseGroup,Non-STEM,49,0.8776,1.0,-0.0259,0.04,False,False
Easy,ExpertiseGroup,STEM,96,0.9167,0.9412,0.0132,-0.0188,False,False
Easy,ExperienceGroup,High-Edu,53,0.8491,1.0,-0.0544,0.04,False,False
Easy,ExperienceGroup,Lower-Edu,92,0.9348,0.9412,0.0313,-0.0188,False,False
Easy,AgeGroup,Older-35plus,90,0.8889,0.9412,-0.0146,-0.0188,False,False
Easy,AgeGroup,Young-18-34,55,0.9273,1.0,0.0238,0.04,False,False
