Version,Partition,Group,N,AP_d,TPR_d,UNFAIR_AP,UNFAIR_TPR,Hard_Acc_d
1,LinguisticGroup,Native,87,0.0065,0.0503,False,False,0.0389
1,LinguisticGroup,Non-Native,24,-0.0236,-0.1845,False,True,-0.1394
1,ExpertiseGroup,Non-STEM,32,-0.0236,-0.0179,False,False,-0.0352
1,ExpertiseGroup,STEM,79,0.0096,0.0071,False,False,0.0145
1,ExperienceGroup,High-Edu,44,0.0104,-0.0633,False,False,0.0727
1,ExperienceGroup,Lower-Edu,67,-0.0069,0.041,False,False,-0.0485
1,AgeGroup,Older-35plus,87,0.0295,0.0276,False,False,0.0622
1,AgeGroup,Young-18-34,24,-0.107,-0.1012,True,True,-0.2227
2,LinguisticGroup,Native,81,-0.0047,0.0353,False,False,0.0694
2,LinguisticGroup,Non-Native,21,0.0182,-0.1283,False,True,-0.2083
2,ExpertiseGroup,Non-STEM,24,0.0539,-0.0147,False,False,0.2917
2,ExpertiseGroup,STEM,78,-0.0166,0.0045,False,False,-0.0972
2,ExperienceGroup,High-Edu,31,-0.0832,-0.0314,False,False,0.0
2,ExperienceGroup,Lower-Edu,71,0.0363,0.0131,False,False,0.0
2,AgeGroup,Older-35plus,59,-0.0012,0.0284,False,False,0.0096
2,AgeGroup,Young-18-34,43,0.0016,-0.0374,False,False,-0.0114
3,LinguisticGroup,Native,88,0.0154,0.0195,False,False,0.0617
3,LinguisticGroup,Non-Native,24,-0.0565,-0.0714,False,False,-0.2262
3,ExpertiseGroup,Non-STEM,40,0.0018,-0.0714,False,False,-0.1929
3,ExpertiseGroup,STEM,72,-0.001,0.0397,False,False,0.1071
3,ExperienceGroup,High-Edu,40,-0.0732,-0.0714,False,False,-0.1929
3,ExperienceGroup,Lower-Edu,72,0.0407,0.0397,False,False,0.1071
3,AgeGroup,Older-35plus,48,-0.0357,0.0119,False,False,0.0238
3,AgeGroup,Young-18-34,64,0.0268,-0.0089,False,False,-0.0179
4,LinguisticGroup,Native,86,0.0321,0.0105,False,False,0.0438
4,LinguisticGroup,Non-Native,16,-0.1728,-0.055,True,False,-0.23
4,ExpertiseGroup,Non-STEM,40,-0.0353,0.02,False,False,0.02
4,ExpertiseGroup,STEM,62,0.0228,-0.0133,False,False,-0.0133
4,ExperienceGroup,High-Edu,39,0.0083,0.0568,False,False,0.12
4,ExperienceGroup,Lower-Edu,63,-0.0051,-0.0348,False,False,-0.08
4,AgeGroup,Older-35plus,71,0.0112,0.0057,False,False,-0.0094
4,AgeGroup,Young-18-34,31,-0.0256,-0.0133,False,False,0.02
