Group,Tier,ConfBin,N,MeanConf,MeanAcc,Gap
Non-Native,Hard,<40%,1,0.35,0.0,0.35
Non-Native,Hard,40-60%,5,0.454,0.2,0.254
Non-Native,Hard,60-70%,7,0.647,0.286,0.361
Non-Native,Hard,70-80%,4,0.728,0.0,0.728
Non-Native,Hard,80-90%,3,0.827,0.333,0.493
Non-Native,Hard,90-100%,8,0.931,0.375,0.556
Non-Native,Medium,40-60%,1,0.55,1.0,-0.45
Non-Native,Medium,60-70%,3,0.603,0.667,-0.063
Non-Native,Medium,70-80%,8,0.735,0.75,-0.015
Non-Native,Medium,80-90%,3,0.843,0.667,0.177
Non-Native,Medium,90-100%,15,0.945,0.933,0.011
Non-Native,Easy,<40%,2,0.32,1.0,-0.68
Non-Native,Easy,40-60%,4,0.442,0.75,-0.308
Non-Native,Easy,60-70%,6,0.64,1.0,-0.36
Non-Native,Easy,70-80%,3,0.717,0.667,0.05
Non-Native,Easy,80-90%,4,0.847,1.0,-0.153
Non-Native,Easy,90-100%,8,0.935,0.75,0.185
Native,Hard,<40%,6,0.205,0.667,-0.462
Native,Hard,40-60%,11,0.504,0.636,-0.133
Native,Hard,60-70%,11,0.648,0.273,0.375
Native,Hard,70-80%,17,0.746,0.529,0.216
Native,Hard,80-90%,20,0.828,0.35,0.479
Native,Hard,90-100%,39,0.932,0.538,0.393
Native,Medium,<40%,9,0.203,0.556,-0.352
Native,Medium,40-60%,8,0.53,0.625,-0.095
Native,Medium,60-70%,9,0.638,0.444,0.193
Native,Medium,70-80%,25,0.75,0.68,0.07
Native,Medium,80-90%,24,0.826,0.708,0.118
Native,Medium,90-100%,45,0.934,0.822,0.112
Native,Easy,<40%,11,0.206,0.727,-0.521
Native,Easy,40-60%,9,0.478,0.778,-0.3
Native,Easy,60-70%,9,0.604,1.0,-0.396
Native,Easy,70-80%,27,0.737,0.926,-0.189
Native,Easy,80-90%,21,0.831,0.905,-0.074
Native,Easy,90-100%,41,0.932,0.976,-0.043
