Group,QuestionPos,Accuracy,N,MeanConf,MeanTime
Non-Native,1,0.7273,11,0.829,44.0
Non-Native,2,0.4545,11,0.868,49.5
Non-Native,3,0.8,10,0.738,50.7
Non-Native,4,0.7,10,0.756,44.8
Non-Native,5,0.7273,11,0.747,39.9
Non-Native,6,0.1,10,0.645,45.8
Non-Native,7,0.6364,11,0.705,38.7
Non-Native,8,1.0,11,0.743,41.3
Native,1,0.7143,42,0.8,46.2
Native,2,0.6829,41,0.798,46.8
Native,3,0.7143,42,0.758,51.1
Native,4,0.7727,44,0.722,55.5
Native,5,0.6136,44,0.751,47.2
Native,6,0.6279,43,0.763,47.1
Native,7,0.7045,44,0.74,40.0
Native,8,0.881,42,0.742,44.3
